orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_15_Cell13_Group2	SCSimulation	63263	901	Group2	sample_15	Condition1
sample_15_Cell14_Group2	SCSimulation	52609	905	Group2	sample_15	Condition1
sample_15_Cell15_Group2	SCSimulation	40124	882	Group2	sample_15	Condition1
sample_15_Cell16_Group2	SCSimulation	59351	918	Group2	sample_15	Condition1
sample_15_Cell17_Group2	SCSimulation	60023	905	Group2	sample_15	Condition1
sample_15_Cell18_Group2	SCSimulation	63824	920	Group2	sample_15	Condition1
sample_15_Cell19_Group2	SCSimulation	78863	914	Group2	sample_15	Condition1
sample_15_Cell20_Group2	SCSimulation	59918	902	Group2	sample_15	Condition1
sample_15_Cell21_Group2	SCSimulation	62678	912	Group2	sample_15	Condition1
sample_15_Cell22_Group2	SCSimulation	72880	918	Group2	sample_15	Condition1
sample_15_Cell23_Group2	SCSimulation	58254	901	Group2	sample_15	Condition1
sample_15_Cell24_Group2	SCSimulation	75934	922	Group2	sample_15	Condition1
sample_16_Cell1_Group2	SCSimulation	66184	915	Group2	sample_16	Condition1
sample_16_Cell2_Group2	SCSimulation	65648	910	Group2	sample_16	Condition1
sample_16_Cell3_Group2	SCSimulation	73588	911	Group2	sample_16	Condition1
sample_16_Cell4_Group2	SCSimulation	80136	920	Group2	sample_16	Condition1
sample_16_Cell5_Group2	SCSimulation	56350	908	Group2	sample_16	Condition1
sample_16_Cell6_Group2	SCSimulation	52489	904	Group2	sample_16	Condition1
sample_16_Cell7_Group2	SCSimulation	75322	915	Group2	sample_16	Condition1
sample_16_Cell8_Group2	SCSimulation	72987	916	Group2	sample_16	Condition1
sample_16_Cell9_Group2	SCSimulation	85825	923	Group2	sample_16	Condition1
sample_16_Cell10_Group2	SCSimulation	57044	898	Group2	sample_16	Condition1
sample_16_Cell11_Group2	SCSimulation	63664	905	Group2	sample_16	Condition1
sample_16_Cell12_Group2	SCSimulation	46530	894	Group2	sample_16	Condition1
sample_16_Cell13_Group2	SCSimulation	67511	916	Group2	sample_16	Condition1
sample_16_Cell14_Group2	SCSimulation	69455	909	Group2	sample_16	Condition1
sample_16_Cell15_Group2	SCSimulation	85402	921	Group2	sample_16	Condition1
sample_16_Cell16_Group2	SCSimulation	50659	883	Group2	sample_16	Condition1
sample_16_Cell17_Group2	SCSimulation	62490	907	Group2	sample_16	Condition1
sample_16_Cell18_Group2	SCSimulation	50741	886	Group2	sample_16	Condition1
sample_16_Cell19_Group2	SCSimulation	83659	920	Group2	sample_16	Condition1
sample_16_Cell20_Group2	SCSimulation	57688	907	Group2	sample_16	Condition1
sample_16_Cell21_Group2	SCSimulation	59845	904	Group2	sample_16	Condition1
sample_16_Cell22_Group2	SCSimulation	78090	911	Group2	sample_16	Condition1
sample_16_Cell23_Group2	SCSimulation	55753	892	Group2	sample_16	Condition1
sample_16_Cell24_Group2	SCSimulation	114257	930	Group2	sample_16	Condition1
sample_17_Cell1_Group2	SCSimulation	59181	896	Group2	sample_17	Condition1
sample_17_Cell2_Group2	SCSimulation	48997	886	Group2	sample_17	Condition1
sample_17_Cell3_Group2	SCSimulation	44466	892	Group2	sample_17	Condition1
sample_17_Cell4_Group2	SCSimulation	63012	907	Group2	sample_17	Condition1
sample_17_Cell5_Group2	SCSimulation	62499	911	Group2	sample_17	Condition1
sample_17_Cell6_Group2	SCSimulation	50140	890	Group2	sample_17	Condition1
sample_17_Cell7_Group2	SCSimulation	81505	915	Group2	sample_17	Condition1
sample_17_Cell8_Group2	SCSimulation	62749	900	Group2	sample_17	Condition1
sample_17_Cell9_Group2	SCSimulation	60482	907	Group2	sample_17	Condition1
sample_17_Cell10_Group2	SCSimulation	66537	914	Group2	sample_17	Condition1
sample_17_Cell11_Group2	SCSimulation	86248	925	Group2	sample_17	Condition1
sample_17_Cell12_Group2	SCSimulation	54097	897	Group2	sample_17	Condition1
sample_17_Cell13_Group2	SCSimulation	52842	899	Group2	sample_17	Condition1
sample_17_Cell14_Group2	SCSimulation	67860	901	Group2	sample_17	Condition1
sample_17_Cell15_Group2	SCSimulation	73260	912	Group2	sample_17	Condition1
sample_17_Cell16_Group2	SCSimulation	46688	894	Group2	sample_17	Condition1
sample_17_Cell17_Group2	SCSimulation	70954	913	Group2	sample_17	Condition1
sample_17_Cell18_Group2	SCSimulation	55290	898	Group2	sample_17	Condition1
sample_17_Cell19_Group2	SCSimulation	56188	910	Group2	sample_17	Condition1
sample_17_Cell20_Group2	SCSimulation	63492	902	Group2	sample_17	Condition1
sample_17_Cell21_Group2	SCSimulation	57846	908	Group2	sample_17	Condition1
sample_17_Cell22_Group2	SCSimulation	86017	927	Group2	sample_17	Condition1
sample_17_Cell23_Group2	SCSimulation	50824	907	Group2	sample_17	Condition1
sample_17_Cell24_Group2	SCSimulation	54661	891	Group2	sample_17	Condition1
sample_18_Cell1_Group2	SCSimulation	54259	907	Group2	sample_18	Condition2
sample_18_Cell2_Group2	SCSimulation	46945	887	Group2	sample_18	Condition2
sample_18_Cell3_Group2	SCSimulation	69371	915	Group2	sample_18	Condition2
sample_18_Cell4_Group2	SCSimulation	48849	891	Group2	sample_18	Condition2
sample_18_Cell5_Group2	SCSimulation	46124	894	Group2	sample_18	Condition2
sample_18_Cell6_Group2	SCSimulation	49451	904	Group2	sample_18	Condition2
sample_18_Cell7_Group2	SCSimulation	45402	883	Group2	sample_18	Condition2
sample_18_Cell8_Group2	SCSimulation	49401	899	Group2	sample_18	Condition2
sample_18_Cell9_Group2	SCSimulation	74526	923	Group2	sample_18	Condition2
sample_18_Cell10_Group2	SCSimulation	52298	908	Group2	sample_18	Condition2
sample_18_Cell11_Group2	SCSimulation	36898	879	Group2	sample_18	Condition2
sample_18_Cell12_Group2	SCSimulation	79591	925	Group2	sample_18	Condition2
sample_18_Cell13_Group2	SCSimulation	71269	913	Group2	sample_18	Condition2
sample_18_Cell14_Group2	SCSimulation	73619	919	Group2	sample_18	Condition2
sample_18_Cell15_Group2	SCSimulation	90835	927	Group2	sample_18	Condition2
sample_18_Cell16_Group2	SCSimulation	71205	907	Group2	sample_18	Condition2
sample_18_Cell17_Group2	SCSimulation	82030	910	Group2	sample_18	Condition2
sample_18_Cell18_Group2	SCSimulation	51128	889	Group2	sample_18	Condition2
sample_18_Cell19_Group2	SCSimulation	67025	901	Group2	sample_18	Condition2
sample_18_Cell20_Group2	SCSimulation	77656	929	Group2	sample_18	Condition2
sample_18_Cell21_Group2	SCSimulation	59972	911	Group2	sample_18	Condition2
sample_18_Cell22_Group2	SCSimulation	82165	926	Group2	sample_18	Condition2
sample_18_Cell23_Group2	SCSimulation	79527	922	Group2	sample_18	Condition2
sample_18_Cell24_Group2	SCSimulation	53902	898	Group2	sample_18	Condition2
sample_19_Cell1_Group2	SCSimulation	52808	895	Group2	sample_19	Condition2
sample_19_Cell2_Group2	SCSimulation	70148	913	Group2	sample_19	Condition2
sample_19_Cell3_Group2	SCSimulation	66790	905	Group2	sample_19	Condition2
sample_19_Cell4_Group2	SCSimulation	85163	926	Group2	sample_19	Condition2
sample_19_Cell5_Group2	SCSimulation	99382	931	Group2	sample_19	Condition2
sample_19_Cell6_Group2	SCSimulation	48002	891	Group2	sample_19	Condition2
sample_19_Cell7_Group2	SCSimulation	58027	905	Group2	sample_19	Condition2
sample_19_Cell8_Group2	SCSimulation	68083	917	Group2	sample_19	Condition2
sample_19_Cell9_Group2	SCSimulation	45571	889	Group2	sample_19	Condition2
sample_19_Cell10_Group2	SCSimulation	79717	914	Group2	sample_19	Condition2
sample_19_Cell11_Group2	SCSimulation	77879	924	Group2	sample_19	Condition2
sample_19_Cell12_Group2	SCSimulation	51689	902	Group2	sample_19	Condition2
sample_19_Cell13_Group2	SCSimulation	44412	882	Group2	sample_19	Condition2
sample_19_Cell14_Group2	SCSimulation	69020	916	Group2	sample_19	Condition2
sample_19_Cell15_Group2	SCSimulation	73447	920	Group2	sample_19	Condition2
sample_19_Cell16_Group2	SCSimulation	65809	916	Group2	sample_19	Condition2
sample_19_Cell17_Group2	SCSimulation	61873	894	Group2	sample_19	Condition2
sample_19_Cell18_Group2	SCSimulation	59701	910	Group2	sample_19	Condition2
sample_19_Cell19_Group2	SCSimulation	57779	915	Group2	sample_19	Condition2
sample_19_Cell20_Group2	SCSimulation	59168	907	Group2	sample_19	Condition2
sample_19_Cell21_Group2	SCSimulation	62664	920	Group2	sample_19	Condition2
sample_19_Cell22_Group2	SCSimulation	98871	936	Group2	sample_19	Condition2
sample_19_Cell23_Group2	SCSimulation	63009	911	Group2	sample_19	Condition2
sample_19_Cell24_Group2	SCSimulation	68451	916	Group2	sample_19	Condition2
sample_20_Cell1_Group2	SCSimulation	61321	911	Group2	sample_20	Condition2
sample_20_Cell2_Group2	SCSimulation	57901	900	Group2	sample_20	Condition2
sample_20_Cell3_Group2	SCSimulation	57084	903	Group2	sample_20	Condition2
sample_20_Cell4_Group2	SCSimulation	71090	931	Group2	sample_20	Condition2
sample_20_Cell5_Group2	SCSimulation	66444	909	Group2	sample_20	Condition2
sample_20_Cell6_Group2	SCSimulation	58054	900	Group2	sample_20	Condition2
sample_20_Cell7_Group2	SCSimulation	42268	874	Group2	sample_20	Condition2
sample_20_Cell8_Group2	SCSimulation	91153	927	Group2	sample_20	Condition2
sample_20_Cell9_Group2	SCSimulation	69880	912	Group2	sample_20	Condition2
sample_20_Cell10_Group2	SCSimulation	69715	911	Group2	sample_20	Condition2
sample_20_Cell11_Group2	SCSimulation	48184	902	Group2	sample_20	Condition2
sample_20_Cell12_Group2	SCSimulation	47299	897	Group2	sample_20	Condition2
sample_20_Cell13_Group2	SCSimulation	55463	905	Group2	sample_20	Condition2
sample_20_Cell14_Group2	SCSimulation	51499	901	Group2	sample_20	Condition2
sample_20_Cell15_Group2	SCSimulation	57320	907	Group2	sample_20	Condition2
sample_20_Cell16_Group2	SCSimulation	51083	906	Group2	sample_20	Condition2
sample_20_Cell17_Group2	SCSimulation	60116	918	Group2	sample_20	Condition2
sample_20_Cell18_Group2	SCSimulation	76790	912	Group2	sample_20	Condition2
sample_20_Cell19_Group2	SCSimulation	67397	919	Group2	sample_20	Condition2
sample_20_Cell20_Group2	SCSimulation	65970	919	Group2	sample_20	Condition2
sample_20_Cell21_Group2	SCSimulation	71144	918	Group2	sample_20	Condition2
sample_20_Cell22_Group2	SCSimulation	54845	909	Group2	sample_20	Condition2
sample_20_Cell23_Group2	SCSimulation	54565	899	Group2	sample_20	Condition2
sample_20_Cell24_Group2	SCSimulation	69331	915	Group2	sample_20	Condition2
