orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_13_Cell25_Group4	SCSimulation	43349	890	Group4	sample_13	Condition2
sample_13_Cell26_Group4	SCSimulation	83760	929	Group4	sample_13	Condition2
sample_13_Cell27_Group4	SCSimulation	55054	902	Group4	sample_13	Condition2
sample_14_Cell1_Group4	SCSimulation	49415	900	Group4	sample_14	Condition2
sample_14_Cell2_Group4	SCSimulation	53048	902	Group4	sample_14	Condition2
sample_14_Cell3_Group4	SCSimulation	49516	902	Group4	sample_14	Condition2
sample_14_Cell4_Group4	SCSimulation	66237	916	Group4	sample_14	Condition2
sample_14_Cell5_Group4	SCSimulation	37448	881	Group4	sample_14	Condition2
sample_14_Cell6_Group4	SCSimulation	60919	910	Group4	sample_14	Condition2
sample_14_Cell7_Group4	SCSimulation	61151	907	Group4	sample_14	Condition2
sample_14_Cell8_Group4	SCSimulation	76175	923	Group4	sample_14	Condition2
sample_14_Cell9_Group4	SCSimulation	59392	910	Group4	sample_14	Condition2
sample_14_Cell10_Group4	SCSimulation	64679	913	Group4	sample_14	Condition2
sample_14_Cell11_Group4	SCSimulation	82747	932	Group4	sample_14	Condition2
sample_14_Cell12_Group4	SCSimulation	81538	924	Group4	sample_14	Condition2
sample_14_Cell13_Group4	SCSimulation	73282	914	Group4	sample_14	Condition2
sample_14_Cell14_Group4	SCSimulation	56539	903	Group4	sample_14	Condition2
sample_14_Cell15_Group4	SCSimulation	42420	888	Group4	sample_14	Condition2
sample_14_Cell16_Group4	SCSimulation	54783	903	Group4	sample_14	Condition2
sample_14_Cell17_Group4	SCSimulation	44997	895	Group4	sample_14	Condition2
sample_14_Cell18_Group4	SCSimulation	63396	920	Group4	sample_14	Condition2
sample_14_Cell19_Group4	SCSimulation	66788	913	Group4	sample_14	Condition2
sample_14_Cell20_Group4	SCSimulation	47151	903	Group4	sample_14	Condition2
sample_14_Cell21_Group4	SCSimulation	54507	912	Group4	sample_14	Condition2
sample_14_Cell22_Group4	SCSimulation	66873	915	Group4	sample_14	Condition2
sample_14_Cell23_Group4	SCSimulation	73329	916	Group4	sample_14	Condition2
sample_14_Cell24_Group4	SCSimulation	70547	922	Group4	sample_14	Condition2
sample_14_Cell25_Group4	SCSimulation	62187	915	Group4	sample_14	Condition2
sample_14_Cell26_Group4	SCSimulation	35487	876	Group4	sample_14	Condition2
sample_14_Cell27_Group4	SCSimulation	58278	911	Group4	sample_14	Condition2
sample_15_Cell1_Group4	SCSimulation	43014	903	Group4	sample_15	Condition1
sample_15_Cell2_Group4	SCSimulation	69725	918	Group4	sample_15	Condition1
sample_15_Cell3_Group4	SCSimulation	48397	887	Group4	sample_15	Condition1
sample_15_Cell4_Group4	SCSimulation	80706	924	Group4	sample_15	Condition1
sample_15_Cell5_Group4	SCSimulation	51427	910	Group4	sample_15	Condition1
sample_15_Cell6_Group4	SCSimulation	48146	899	Group4	sample_15	Condition1
sample_15_Cell7_Group4	SCSimulation	59715	907	Group4	sample_15	Condition1
sample_15_Cell8_Group4	SCSimulation	59651	916	Group4	sample_15	Condition1
sample_15_Cell9_Group4	SCSimulation	45750	896	Group4	sample_15	Condition1
sample_15_Cell10_Group4	SCSimulation	44323	890	Group4	sample_15	Condition1
sample_15_Cell11_Group4	SCSimulation	56912	913	Group4	sample_15	Condition1
sample_15_Cell12_Group4	SCSimulation	68828	924	Group4	sample_15	Condition1
sample_15_Cell13_Group4	SCSimulation	59958	904	Group4	sample_15	Condition1
sample_15_Cell14_Group4	SCSimulation	45871	896	Group4	sample_15	Condition1
sample_15_Cell15_Group4	SCSimulation	54294	903	Group4	sample_15	Condition1
sample_15_Cell16_Group4	SCSimulation	52837	902	Group4	sample_15	Condition1
sample_15_Cell17_Group4	SCSimulation	74043	916	Group4	sample_15	Condition1
sample_15_Cell18_Group4	SCSimulation	53588	905	Group4	sample_15	Condition1
sample_15_Cell19_Group4	SCSimulation	52415	908	Group4	sample_15	Condition1
sample_15_Cell20_Group4	SCSimulation	71010	916	Group4	sample_15	Condition1
sample_15_Cell21_Group4	SCSimulation	64376	912	Group4	sample_15	Condition1
sample_15_Cell22_Group4	SCSimulation	57311	903	Group4	sample_15	Condition1
sample_15_Cell23_Group4	SCSimulation	68839	925	Group4	sample_15	Condition1
sample_15_Cell24_Group4	SCSimulation	67271	922	Group4	sample_15	Condition1
sample_15_Cell25_Group4	SCSimulation	76143	927	Group4	sample_15	Condition1
sample_15_Cell26_Group4	SCSimulation	52177	896	Group4	sample_15	Condition1
sample_15_Cell27_Group4	SCSimulation	46039	897	Group4	sample_15	Condition1
sample_16_Cell1_Group4	SCSimulation	48149	898	Group4	sample_16	Condition1
sample_16_Cell2_Group4	SCSimulation	62019	919	Group4	sample_16	Condition1
sample_16_Cell3_Group4	SCSimulation	65156	908	Group4	sample_16	Condition1
sample_16_Cell4_Group4	SCSimulation	77108	915	Group4	sample_16	Condition1
sample_16_Cell5_Group4	SCSimulation	64943	909	Group4	sample_16	Condition1
sample_16_Cell6_Group4	SCSimulation	54509	908	Group4	sample_16	Condition1
sample_16_Cell7_Group4	SCSimulation	56069	899	Group4	sample_16	Condition1
sample_16_Cell8_Group4	SCSimulation	53554	894	Group4	sample_16	Condition1
sample_16_Cell9_Group4	SCSimulation	47856	897	Group4	sample_16	Condition1
sample_16_Cell10_Group4	SCSimulation	64731	906	Group4	sample_16	Condition1
sample_16_Cell11_Group4	SCSimulation	84576	915	Group4	sample_16	Condition1
sample_16_Cell12_Group4	SCSimulation	64354	914	Group4	sample_16	Condition1
sample_16_Cell13_Group4	SCSimulation	54130	908	Group4	sample_16	Condition1
sample_16_Cell14_Group4	SCSimulation	53642	901	Group4	sample_16	Condition1
sample_16_Cell15_Group4	SCSimulation	61875	906	Group4	sample_16	Condition1
sample_16_Cell16_Group4	SCSimulation	53917	902	Group4	sample_16	Condition1
sample_16_Cell17_Group4	SCSimulation	67571	912	Group4	sample_16	Condition1
sample_16_Cell18_Group4	SCSimulation	62306	917	Group4	sample_16	Condition1
sample_16_Cell19_Group4	SCSimulation	73193	922	Group4	sample_16	Condition1
sample_16_Cell20_Group4	SCSimulation	85142	921	Group4	sample_16	Condition1
sample_16_Cell21_Group4	SCSimulation	49079	889	Group4	sample_16	Condition1
sample_16_Cell22_Group4	SCSimulation	80033	935	Group4	sample_16	Condition1
sample_16_Cell23_Group4	SCSimulation	83080	922	Group4	sample_16	Condition1
sample_16_Cell24_Group4	SCSimulation	44496	888	Group4	sample_16	Condition1
sample_16_Cell25_Group4	SCSimulation	54779	898	Group4	sample_16	Condition1
sample_16_Cell26_Group4	SCSimulation	81976	916	Group4	sample_16	Condition1
sample_16_Cell27_Group4	SCSimulation	62815	909	Group4	sample_16	Condition1
sample_17_Cell1_Group4	SCSimulation	51696	896	Group4	sample_17	Condition1
sample_17_Cell2_Group4	SCSimulation	79846	921	Group4	sample_17	Condition1
sample_17_Cell3_Group4	SCSimulation	61096	900	Group4	sample_17	Condition1
sample_17_Cell4_Group4	SCSimulation	74529	918	Group4	sample_17	Condition1
sample_17_Cell5_Group4	SCSimulation	41605	884	Group4	sample_17	Condition1
sample_17_Cell6_Group4	SCSimulation	82403	936	Group4	sample_17	Condition1
sample_17_Cell7_Group4	SCSimulation	75422	923	Group4	sample_17	Condition1
sample_17_Cell8_Group4	SCSimulation	58996	910	Group4	sample_17	Condition1
sample_17_Cell9_Group4	SCSimulation	67813	912	Group4	sample_17	Condition1
sample_17_Cell10_Group4	SCSimulation	66167	909	Group4	sample_17	Condition1
sample_17_Cell11_Group4	SCSimulation	79645	926	Group4	sample_17	Condition1
sample_17_Cell12_Group4	SCSimulation	54118	903	Group4	sample_17	Condition1
sample_17_Cell13_Group4	SCSimulation	68054	914	Group4	sample_17	Condition1
sample_17_Cell14_Group4	SCSimulation	59936	906	Group4	sample_17	Condition1
sample_17_Cell15_Group4	SCSimulation	47696	896	Group4	sample_17	Condition1
sample_17_Cell16_Group4	SCSimulation	54644	894	Group4	sample_17	Condition1
sample_17_Cell17_Group4	SCSimulation	53118	900	Group4	sample_17	Condition1
sample_17_Cell18_Group4	SCSimulation	66931	907	Group4	sample_17	Condition1
sample_17_Cell19_Group4	SCSimulation	61514	905	Group4	sample_17	Condition1
sample_17_Cell20_Group4	SCSimulation	59650	913	Group4	sample_17	Condition1
sample_17_Cell21_Group4	SCSimulation	63801	912	Group4	sample_17	Condition1
sample_17_Cell22_Group4	SCSimulation	78410	922	Group4	sample_17	Condition1
sample_17_Cell23_Group4	SCSimulation	51418	896	Group4	sample_17	Condition1
sample_17_Cell24_Group4	SCSimulation	53311	907	Group4	sample_17	Condition1
sample_17_Cell25_Group4	SCSimulation	72895	909	Group4	sample_17	Condition1
sample_17_Cell26_Group4	SCSimulation	65336	909	Group4	sample_17	Condition1
sample_17_Cell27_Group4	SCSimulation	94274	931	Group4	sample_17	Condition1
sample_18_Cell1_Group4	SCSimulation	53209	900	Group4	sample_18	Condition2
sample_18_Cell2_Group4	SCSimulation	53637	906	Group4	sample_18	Condition2
sample_18_Cell3_Group4	SCSimulation	53892	898	Group4	sample_18	Condition2
sample_18_Cell4_Group4	SCSimulation	43670	894	Group4	sample_18	Condition2
sample_18_Cell5_Group4	SCSimulation	78888	926	Group4	sample_18	Condition2
sample_18_Cell6_Group4	SCSimulation	66886	911	Group4	sample_18	Condition2
sample_18_Cell7_Group4	SCSimulation	52971	906	Group4	sample_18	Condition2
sample_18_Cell8_Group4	SCSimulation	79930	914	Group4	sample_18	Condition2
sample_18_Cell9_Group4	SCSimulation	72874	919	Group4	sample_18	Condition2
sample_18_Cell10_Group4	SCSimulation	55584	901	Group4	sample_18	Condition2
sample_18_Cell11_Group4	SCSimulation	58591	904	Group4	sample_18	Condition2
sample_18_Cell12_Group4	SCSimulation	47894	906	Group4	sample_18	Condition2
sample_18_Cell13_Group4	SCSimulation	67425	914	Group4	sample_18	Condition2
sample_18_Cell14_Group4	SCSimulation	56274	913	Group4	sample_18	Condition2
sample_18_Cell15_Group4	SCSimulation	63834	922	Group4	sample_18	Condition2
sample_18_Cell16_Group4	SCSimulation	84961	933	Group4	sample_18	Condition2
sample_18_Cell17_Group4	SCSimulation	61215	905	Group4	sample_18	Condition2
sample_18_Cell18_Group4	SCSimulation	47242	878	Group4	sample_18	Condition2
sample_18_Cell19_Group4	SCSimulation	56519	902	Group4	sample_18	Condition2
sample_18_Cell20_Group4	SCSimulation	43996	896	Group4	sample_18	Condition2
sample_18_Cell21_Group4	SCSimulation	60334	911	Group4	sample_18	Condition2
sample_18_Cell22_Group4	SCSimulation	66199	911	Group4	sample_18	Condition2
sample_18_Cell23_Group4	SCSimulation	53934	901	Group4	sample_18	Condition2
sample_18_Cell24_Group4	SCSimulation	79962	917	Group4	sample_18	Condition2
sample_18_Cell25_Group4	SCSimulation	50931	895	Group4	sample_18	Condition2
sample_18_Cell26_Group4	SCSimulation	53450	884	Group4	sample_18	Condition2
sample_18_Cell27_Group4	SCSimulation	59721	898	Group4	sample_18	Condition2
sample_19_Cell1_Group4	SCSimulation	45360	897	Group4	sample_19	Condition2
sample_19_Cell2_Group4	SCSimulation	66749	909	Group4	sample_19	Condition2
sample_19_Cell3_Group4	SCSimulation	67892	911	Group4	sample_19	Condition2
sample_19_Cell4_Group4	SCSimulation	83577	923	Group4	sample_19	Condition2
sample_19_Cell5_Group4	SCSimulation	63855	918	Group4	sample_19	Condition2
sample_19_Cell6_Group4	SCSimulation	82734	924	Group4	sample_19	Condition2
sample_19_Cell7_Group4	SCSimulation	67883	910	Group4	sample_19	Condition2
sample_19_Cell8_Group4	SCSimulation	58396	914	Group4	sample_19	Condition2
sample_19_Cell9_Group4	SCSimulation	37340	881	Group4	sample_19	Condition2
sample_19_Cell10_Group4	SCSimulation	63712	906	Group4	sample_19	Condition2
sample_19_Cell11_Group4	SCSimulation	55601	890	Group4	sample_19	Condition2
sample_19_Cell12_Group4	SCSimulation	76390	920	Group4	sample_19	Condition2
sample_19_Cell13_Group4	SCSimulation	62219	911	Group4	sample_19	Condition2
sample_19_Cell14_Group4	SCSimulation	67945	913	Group4	sample_19	Condition2
sample_19_Cell15_Group4	SCSimulation	55402	912	Group4	sample_19	Condition2
sample_19_Cell16_Group4	SCSimulation	63377	912	Group4	sample_19	Condition2
sample_19_Cell17_Group4	SCSimulation	63677	919	Group4	sample_19	Condition2
sample_19_Cell18_Group4	SCSimulation	49176	908	Group4	sample_19	Condition2
sample_19_Cell19_Group4	SCSimulation	55671	912	Group4	sample_19	Condition2
sample_19_Cell20_Group4	SCSimulation	40093	879	Group4	sample_19	Condition2
sample_19_Cell21_Group4	SCSimulation	56645	900	Group4	sample_19	Condition2
sample_19_Cell22_Group4	SCSimulation	55003	897	Group4	sample_19	Condition2
sample_19_Cell23_Group4	SCSimulation	55696	912	Group4	sample_19	Condition2
sample_19_Cell24_Group4	SCSimulation	58637	903	Group4	sample_19	Condition2
sample_19_Cell25_Group4	SCSimulation	67058	920	Group4	sample_19	Condition2
sample_19_Cell26_Group4	SCSimulation	54134	897	Group4	sample_19	Condition2
sample_19_Cell27_Group4	SCSimulation	47609	895	Group4	sample_19	Condition2
sample_20_Cell1_Group4	SCSimulation	51850	905	Group4	sample_20	Condition2
sample_20_Cell2_Group4	SCSimulation	57986	905	Group4	sample_20	Condition2
sample_20_Cell3_Group4	SCSimulation	53491	900	Group4	sample_20	Condition2
sample_20_Cell4_Group4	SCSimulation	40327	877	Group4	sample_20	Condition2
sample_20_Cell5_Group4	SCSimulation	54955	906	Group4	sample_20	Condition2
sample_20_Cell6_Group4	SCSimulation	68934	909	Group4	sample_20	Condition2
sample_20_Cell7_Group4	SCSimulation	77005	919	Group4	sample_20	Condition2
sample_20_Cell8_Group4	SCSimulation	70757	914	Group4	sample_20	Condition2
sample_20_Cell9_Group4	SCSimulation	58520	909	Group4	sample_20	Condition2
sample_20_Cell10_Group4	SCSimulation	61391	915	Group4	sample_20	Condition2
sample_20_Cell11_Group4	SCSimulation	55928	910	Group4	sample_20	Condition2
sample_20_Cell12_Group4	SCSimulation	78062	922	Group4	sample_20	Condition2
sample_20_Cell13_Group4	SCSimulation	47094	905	Group4	sample_20	Condition2
sample_20_Cell14_Group4	SCSimulation	52745	908	Group4	sample_20	Condition2
sample_20_Cell15_Group4	SCSimulation	51492	899	Group4	sample_20	Condition2
sample_20_Cell16_Group4	SCSimulation	48097	901	Group4	sample_20	Condition2
sample_20_Cell17_Group4	SCSimulation	62119	913	Group4	sample_20	Condition2
sample_20_Cell18_Group4	SCSimulation	54820	899	Group4	sample_20	Condition2
sample_20_Cell19_Group4	SCSimulation	74476	917	Group4	sample_20	Condition2
sample_20_Cell20_Group4	SCSimulation	48857	892	Group4	sample_20	Condition2
sample_20_Cell21_Group4	SCSimulation	72042	917	Group4	sample_20	Condition2
sample_20_Cell22_Group4	SCSimulation	64362	908	Group4	sample_20	Condition2
sample_20_Cell23_Group4	SCSimulation	52227	915	Group4	sample_20	Condition2
sample_20_Cell24_Group4	SCSimulation	69041	914	Group4	sample_20	Condition2
sample_20_Cell25_Group4	SCSimulation	63177	914	Group4	sample_20	Condition2
sample_20_Cell26_Group4	SCSimulation	62930	905	Group4	sample_20	Condition2
sample_20_Cell27_Group4	SCSimulation	57523	902	Group4	sample_20	Condition2
